,featureName,score
0,maxA0,479
1,minA0,92
2,meanA0,240
3,medianA0,256
4,stdA0,358
5,varA0,74
6,maxB0,593
7,minB0,0
8,meanB0,477
9,medianB0,365
10,stdB0,590
11,varB0,134
12,maxC0,700
13,minC0,0
14,meanC0,584
15,medianC0,513
16,stdC0,712
17,varC0,130
18,maxD0,551
19,minD0,0
20,meanD0,537
21,medianD0,410
22,stdD0,453
23,varD0,82
24,maxE0,823
25,minE0,23
26,meanE0,409
27,medianE0,290
28,stdE0,549
29,varE0,161
30,top1_0,2304
31,top2_0,2440
32,top3_0,2985
33,date_times_0,1112
34,maxA1,505
35,minA1,259
36,meanA1,236
37,medianA1,238
38,stdA1,477
39,varA1,94
40,maxB1,477
41,minB1,0
42,meanB1,445
43,medianB1,332
44,stdB1,550
45,varB1,138
46,maxC1,566
47,minC1,0
48,meanC1,715
49,medianC1,767
50,stdC1,804
51,varC1,142
52,maxD1,460
53,minD1,0
54,meanD1,378
55,medianD1,266
56,stdD1,584
57,varD1,102
58,maxE1,672
59,minE1,148
60,meanE1,523
61,medianE1,326
62,stdE1,694
63,varE1,145
64,top1_1,2776
65,top2_1,2868
66,top3_1,3250
67,date_times_1,448
68,maxA2,410
69,minA2,98
70,meanA2,304
71,medianA2,373
72,stdA2,338
73,varA2,69
74,maxB2,532
75,minB2,0
76,meanB2,412
77,medianB2,342
78,stdB2,518
79,varB2,192
80,maxC2,518
81,minC2,0
82,meanC2,456
83,medianC2,601
84,stdC2,759
85,varC2,267
86,maxD2,554
87,minD2,0
88,meanD2,392
89,medianD2,335
90,stdD2,587
91,varD2,114
92,maxE2,488
93,minE2,31
94,meanE2,492
95,medianE2,294
96,stdE2,579
97,varE2,198
98,top1_2,3002
99,top2_2,3104
100,top3_2,3396
101,date_times_2,286
102,maxA3,323
103,minA3,310
104,meanA3,226
105,medianA3,271
106,stdA3,1093
107,varA3,590
108,maxB3,385
109,minB3,365
110,meanB3,288
111,medianB3,304
112,stdB3,1379
113,varB3,569
114,maxC3,452
115,minC3,503
116,meanC3,349
117,medianC3,413
118,stdC3,1542
119,varC3,563
120,maxD3,394
121,minD3,353
122,meanD3,308
123,medianD3,273
124,stdD3,1253
125,varD3,467
126,maxE3,408
127,minE3,380
128,meanE3,312
129,medianE3,349
130,stdE3,1298
131,varE3,359
132,top1_3,2581
133,top2_3,2664
134,top3_3,2894
135,date_times_3,11
136,maxA4,488
137,minA4,44
138,meanA4,219
139,medianA4,159
140,stdA4,401
141,varA4,88
142,maxB4,538
143,minB4,0
144,meanB4,276
145,medianB4,151
146,stdB4,632
147,varB4,128
148,maxC4,520
149,minC4,0
150,meanC4,334
151,medianC4,255
152,stdC4,634
153,varC4,135
154,maxD4,517
155,minD4,0
156,meanD4,287
157,medianD4,169
158,stdD4,458
159,varD4,102
160,maxE4,670
161,minE4,17
162,meanE4,403
163,medianE4,155
164,stdE4,455
165,varE4,100
166,top1_4,1878
167,top2_4,2230
168,top3_4,2746
169,date_times_4,930
170,maxA5,334
171,minA5,226
172,meanA5,336
173,medianA5,466
174,stdA5,302
175,varA5,72
176,maxB5,378
177,minB5,0
178,meanB5,494
179,medianB5,695
180,stdB5,351
181,varB5,199
182,maxC5,453
183,minC5,0
184,meanC5,558
185,medianC5,685
186,stdC5,562
187,varC5,148
188,maxD5,377
189,minD5,0
190,meanD5,373
191,medianD5,389
192,stdD5,377
193,varD5,150
194,maxE5,557
195,minE5,81
196,meanE5,449
197,medianE5,478
198,stdE5,533
199,varE5,251
200,top1_5,2632
201,top2_5,2917
202,top3_5,3619
203,date_times_5,154
204,maxA6,343
205,minA6,168
206,meanA6,373
207,medianA6,386
208,stdA6,266
209,varA6,130
210,maxB6,397
211,minB6,0
212,meanB6,440
213,medianB6,495
214,stdB6,486
215,varB6,165
216,maxC6,411
217,minC6,0
218,meanC6,523
219,medianC6,711
220,stdC6,440
221,varC6,176
222,maxD6,386
223,minD6,0
224,meanD6,395
225,medianD6,401
226,stdD6,435
227,varD6,195
228,maxE6,412
229,minE6,75
230,meanE6,508
231,medianE6,536
232,stdE6,513
233,varE6,145
234,top1_6,3048
235,top2_6,3224
236,top3_6,3449
237,date_times_6,121
238,maxA7,351
239,minA7,275
240,meanA7,274
241,medianA7,297
242,stdA7,1081
243,varA7,229
244,maxB7,310
245,minB7,557
246,meanB7,320
247,medianB7,413
248,stdB7,876
249,varB7,412
250,maxC7,470
251,minC7,448
252,meanC7,396
253,medianC7,480
254,stdC7,1193
255,varC7,567
256,maxD7,318
257,minD7,278
258,meanD7,282
259,medianD7,228
260,stdD7,1079
261,varD7,345
262,maxE7,413
263,minE7,429
264,meanE7,419
265,medianE7,373
266,stdE7,981
267,varE7,386
268,top1_7,2306
269,top2_7,2362
270,top3_7,2497
271,date_times_7,77
